city,country,year,avg_temp,mov_avg_5_years_Riyadh,,,,year,avg_temp,mov_avg_ for _5year_global_avg,,
Riyadh,Saudi Arabia,1843,24.74,,,,,1843,8.17,,,
Riyadh,Saudi Arabia,1844,15.45,,,,,1844,7.65,,,
Riyadh,Saudi Arabia,1845,20.82,,,,,1845,7.85,,,
Riyadh,Saudi Arabia,1846,,,,,,1846,8.55,,,
Riyadh,Saudi Arabia,1847,,20.34,,,,1847,8.09,8.06,,
Riyadh,Saudi Arabia,1848,24.56,20.28,,,,1848,7.98,8.02,,
Riyadh,Saudi Arabia,1849,24.8,23.39,,,,1849,7.98,8.09,,
Riyadh,Saudi Arabia,1850,24.34,24.57,,,,1850,7.9,8.1,,
Riyadh,Saudi Arabia,1851,25.03,24.68,,,,1851,8.18,8.03,,
Riyadh,Saudi Arabia,1852,24.85,24.72,,,,1852,8.1,8.03,,
Riyadh,Saudi Arabia,1853,24.93,24.79,,,,1853,8.04,8.04,,
Riyadh,Saudi Arabia,1854,24.72,24.77,,,,1854,8.21,8.09,,
Riyadh,Saudi Arabia,1855,24.92,24.89,,,,1855,8.11,8.13,,
Riyadh,Saudi Arabia,1856,24.57,24.8,,,,1856,8,8.09,,
Riyadh,Saudi Arabia,1857,24.26,24.68,,,,1857,7.76,8.02,,
Riyadh,Saudi Arabia,1858,25.01,24.7,,,,1858,8.1,8.04,,
Riyadh,Saudi Arabia,1859,24.95,24.74,,,,1859,8.25,8.04,,
Riyadh,Saudi Arabia,1860,24.94,24.75,,,,1860,7.96,8.01,,
Riyadh,Saudi Arabia,1861,24.13,24.66,,,,1861,7.85,7.98,,
Riyadh,Saudi Arabia,1862,23.77,24.56,,,,1862,7.56,7.94,,
Riyadh,Saudi Arabia,1863,24.28,24.41,,,,1863,8.11,7.95,,
Riyadh,Saudi Arabia,1864,25.03,24.43,,,,1864,7.98,7.89,,
Riyadh,Saudi Arabia,1865,25.23,24.49,,,,1865,8.18,7.94,,
Riyadh,Saudi Arabia,1866,24.92,24.65,,,,1866,8.29,8.02,,
Riyadh,Saudi Arabia,1867,25.22,24.94,,,,1867,8.44,8.2,,
Riyadh,Saudi Arabia,1868,25,25.08,,,,1868,8.25,8.23,,
Riyadh,Saudi Arabia,1869,25.3,25.13,,,,1869,8.43,8.32,,
Riyadh,Saudi Arabia,1870,25.02,25.09,,,,1870,8.2,8.32,,
Riyadh,Saudi Arabia,1871,24.73,25.05,,,,1871,8.12,8.29,,
Riyadh,Saudi Arabia,1872,24.87,24.98,,,,1872,8.19,8.24,,
Riyadh,Saudi Arabia,1873,25.24,25.03,,,,1873,8.35,8.26,,
Riyadh,Saudi Arabia,1874,24.98,24.97,,,,1874,8.43,8.26,,
Riyadh,Saudi Arabia,1875,24.43,24.85,,,,1875,7.86,8.19,,
Riyadh,Saudi Arabia,1876,24.89,24.88,,,,1876,8.08,8.18,,
Riyadh,Saudi Arabia,1877,25.47,25,,,,1877,8.54,8.25,,
Riyadh,Saudi Arabia,1878,25.51,25.06,,,,1878,8.83,8.35,,
Riyadh,Saudi Arabia,1879,25.24,25.11,,,,1879,8.17,8.3,,
Riyadh,Saudi Arabia,1880,24.8,25.18,,,,1880,8.12,8.35,,
Riyadh,Saudi Arabia,1881,25.63,25.33,,,,1881,8.27,8.39,,
Riyadh,Saudi Arabia,1882,24.66,25.17,,,,1882,8.13,8.3,,
Riyadh,Saudi Arabia,1883,25.19,25.1,,,,1883,7.98,8.13,,
Riyadh,Saudi Arabia,1884,24.8,25.02,,,,1884,7.77,8.05,,
Riyadh,Saudi Arabia,1885,24.98,25.05,,,,1885,7.92,8.01,,
Riyadh,Saudi Arabia,1886,24.98,24.92,,,,1886,7.95,7.95,,
Riyadh,Saudi Arabia,1887,24.81,24.95,,,,1887,7.91,7.91,,
Riyadh,Saudi Arabia,1888,25.13,24.94,,,,1888,8.09,7.93,,
Riyadh,Saudi Arabia,1889,25.52,25.08,,,,1889,8.32,8.04,,
Riyadh,Saudi Arabia,1890,25.07,25.1,,,,1890,7.97,8.05,,
Riyadh,Saudi Arabia,1891,25.39,25.18,,,,1891,8.02,8.06,,
Riyadh,Saudi Arabia,1892,25.22,25.27,,,,1892,8.07,8.09,,
Riyadh,Saudi Arabia,1893,25.19,25.28,,,,1893,8.06,8.09,,
Riyadh,Saudi Arabia,1894,24.66,25.11,,,,1894,8.16,8.06,,
Riyadh,Saudi Arabia,1895,24.69,25.03,,,,1895,8.15,8.09,,
Riyadh,Saudi Arabia,1896,24.88,24.93,,,,1896,8.21,8.13,,
Riyadh,Saudi Arabia,1897,24.86,24.86,,,,1897,8.29,8.17,,
Riyadh,Saudi Arabia,1898,24.88,24.79,,,,1898,8.18,8.2,,
Riyadh,Saudi Arabia,1899,25.12,24.89,,,,1899,8.4,8.25,,
Riyadh,Saudi Arabia,1900,25.29,25.01,,,,1900,8.5,8.32,,
Riyadh,Saudi Arabia,1901,25.55,25.14,,,,1901,8.54,8.38,,
Riyadh,Saudi Arabia,1902,25.25,25.22,,,,1902,8.3,8.38,,
Riyadh,Saudi Arabia,1903,24.64,25.17,,,,1903,8.22,8.39,,
Riyadh,Saudi Arabia,1904,25.07,25.16,,,,1904,8.09,8.33,,
Riyadh,Saudi Arabia,1905,24.87,25.08,,,,1905,8.23,8.28,,
Riyadh,Saudi Arabia,1906,24.85,24.94,,,,1906,8.38,8.24,,
Riyadh,Saudi Arabia,1907,24.44,24.77,,,,1907,7.95,8.17,,
Riyadh,Saudi Arabia,1908,24.95,24.84,,,,1908,8.19,8.17,,
Riyadh,Saudi Arabia,1909,25.57,24.94,,,,1909,8.18,8.19,,
Riyadh,Saudi Arabia,1910,24.75,24.91,,,,1910,8.22,8.18,,
Riyadh,Saudi Arabia,1911,24.24,24.79,,,,1911,8.18,8.14,,
Riyadh,Saudi Arabia,1912,24.96,24.89,,,,1912,8.17,8.19,,
Riyadh,Saudi Arabia,1913,24.63,24.83,,,,1913,8.3,8.21,,
Riyadh,Saudi Arabia,1914,24.94,24.7,,,,1914,8.59,8.29,,
Riyadh,Saudi Arabia,1915,25.38,24.83,,,,1915,8.59,8.37,,
Riyadh,Saudi Arabia,1916,24.85,24.95,,,,1916,8.23,8.38,,
Riyadh,Saudi Arabia,1917,25.03,24.97,,,,1917,8.02,8.35,,
Riyadh,Saudi Arabia,1918,24.66,24.97,,,,1918,8.13,8.31,,
Riyadh,Saudi Arabia,1919,25.39,25.06,,,,1919,8.38,8.27,,
Riyadh,Saudi Arabia,1920,24.94,24.97,,,,1920,8.36,8.22,,
Riyadh,Saudi Arabia,1921,24.84,24.97,,,,1921,8.57,8.29,,
Riyadh,Saudi Arabia,1922,25.35,25.04,,,,1922,8.41,8.37,,
Riyadh,Saudi Arabia,1923,25.1,25.12,,,,1923,8.42,8.43,,
Riyadh,Saudi Arabia,1924,25.69,25.18,,,,1924,8.51,8.45,,
Riyadh,Saudi Arabia,1925,25,25.2,,,,1925,8.53,8.49,,
Riyadh,Saudi Arabia,1926,25.19,25.27,,,,1926,8.73,8.52,,
Riyadh,Saudi Arabia,1927,25.29,25.25,,,,1927,8.52,8.54,,
Riyadh,Saudi Arabia,1928,25.39,25.31,,,,1928,8.63,8.58,,
Riyadh,Saudi Arabia,1929,25.36,25.25,,,,1929,8.24,8.53,,
Riyadh,Saudi Arabia,1930,25.39,25.32,,,,1930,8.63,8.55,,
Riyadh,Saudi Arabia,1931,25.38,25.36,,,,1931,8.72,8.55,,
Riyadh,Saudi Arabia,1932,24.96,25.3,,,,1932,8.71,8.59,,
Riyadh,Saudi Arabia,1933,24.67,25.15,,,,1933,8.34,8.53,,
Riyadh,Saudi Arabia,1934,24.97,25.07,,,,1934,8.63,8.61,,
Riyadh,Saudi Arabia,1935,25.61,25.12,,,,1935,8.52,8.58,,
Riyadh,Saudi Arabia,1936,25.15,25.07,,,,1936,8.55,8.55,,
Riyadh,Saudi Arabia,1937,25.08,25.1,,,,1937,8.7,8.55,,
Riyadh,Saudi Arabia,1938,25.11,25.18,,,,1938,8.86,8.65,,
Riyadh,Saudi Arabia,1939,25.16,25.22,,,,1939,8.76,8.68,,
